text,label
Acil Bildirim: Apple kimliğiniz şüpheli işlem sebebiyle bloke oldu. Hesap dökümünüzü incelemek için kimliğinizi doğrulayın.,1
Acil Bildirim: vergi borcunuz üzerinde haciz işlemi başlatıldı. Cezai işlemden kaçınmak için verilen adrese gidin.,1
Dikkat: kripto cüzdanınız güvenlik nedeniyle donduruldu. Cezai işlemden kaçınmak için verilen adrese gidin.,1
"Sayın Üyemiz, şube çalışma saatlerimiz hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Müşteri temsilcimize bağlanarak kurumsal sayfalarımızı inceleyebilirsiniz.",0
Önemli uyarı: vergi borcunuz hakkında suç duyurusu yapıldı. İadenizi hesabınıza aktarmak için aşağıdaki linke tıklayın.,1
Acil Bildirim: Netflix üyeliğiniz için iade tutarı onaylandı. Güvenliğinizi sağlamak için aşağıdaki linke tıklayın.,1
"Değerli yatırımcımız, kargo takip numaranız uygulamamız üzerinden görüntülenebilir. Kampanyaları incelemek için resmi web sitemizi ziyaret edebilirsiniz.",0
"Sayın müşterimiz, e-devlet şifreniz çekilişten büyük ödül kazandınız. Cezai işlemden kaçınmak için formu doldurun.",1
"Sayın müşterimiz, yeni ürün kampanyamız sistemlerimizde güvenle saklanmaktadır. İşlemlerinizi hızlıca yapmak için kurumsal sayfalarımızı inceleyebilirsiniz.",0
"Değerli kullanıcımız, Apple kimliğiniz güvenlik nedeniyle donduruldu. Cezai işlemden kaçınmak için sisteme giriş yapın.",1
"Bilinçli Tüketici, müşteri hizmetleri numaramız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Daha fazla bilgi almak isterseniz destek ekibimize yazabilirsiniz.",0
"Sayın Üyemiz, müşteri hizmetleri numaramız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. İletişim formunu doldurarak sistemimize güvenle giriş yapabilirsiniz.",0
"Değerli yatırımcımız, finansal raporlarımız ile ilgili süreç tamamlanmıştır. İletişim formunu doldurarak size yardımcı olmaktan memnuniyet duyarız.",0
Önemli uyarı: e-devlet şifreniz hakkında suç duyurusu yapıldı. Cezai işlemden kaçınmak için bu adresi ziyaret edin.,1
Önemli uyarı: vergi borcunuz teslim edilemediğinden geri dönüyor. Güvenliğinizi sağlamak için aşağıdaki linke tıklayın.,1
"Sayın müşterimiz, randevu detaylarınız uygulamamız üzerinden görüntülenebilir. İletişim formunu doldurarak mesai saatleri içinde arayabilirsiniz.",0
"Sayın Üyemiz, finansal raporlarımız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Kurumsal politikalarımızı okumak için şubelerimize bekleriz.",0
"Merhaba, müşteri hizmetleri numaramız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Mobil uygulamamızı indirerek mesai saatleri içinde arayabilirsiniz.",0
Netflix üyeliğiniz üzerinde haciz işlemi başlatıldı. Güvenliğinizi sağlamak için verilen adrese gidin.,1
"Sayın müşterimiz, Apple kimliğiniz süresi dolduğu için askıya alındı. Şifrenizi sıfırlamak için sisteme giriş yapın.",1
"Değerli kullanıcımız, kargo paketiniz şüpheli işlem sebebiyle bloke oldu. Ödülünüzü teslim almak için işlemi tamamlayın.",1
"Değerli kullanıcımız, Apple kimliğiniz üzerinde haciz işlemi başlatıldı. Hemen hesabınızı doğrulamak için aşağıdaki linke tıklayın.",1
"Değerli yatırımcımız, mobil uygulamamız uygulamamız üzerinden görüntülenebilir. Daha fazla bilgi almak isterseniz çağrı merkezimizi arayabilirsiniz.",0
Dikkat: Netflix üyeliğiniz şüpheli işlem sebebiyle bloke oldu. Ödülünüzü teslim almak için verilen adrese gidin.,1
"Bilinçli Tüketici, gizlilik politikamız başarıyla sisteme kaydedildi. İşlemlerinizi hızlıca yapmak için resmi web sitemizi ziyaret edebilirsiniz.",0
"Bilinçli Tüketici, müşteri hizmetleri numaramız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Daha fazla bilgi almak isterseniz şubelerimize bekleriz.",0
"Değerli yatırımcımız, sipariş faturanız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. İnternet şubemizi kullanarak uygulamamızı mağazalardan güncelleyebilirsiniz.",0
"Sayın Üyemiz, aylık hesap özetiniz hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Müşteri temsilcimize bağlanarak resmi web sitemizi ziyaret edebilirsiniz.",0
Dikkat: kripto cüzdanınız teslim edilemediğinden geri dönüyor. Borcunuzu hemen ödemek için aşağıdaki linke tıklayın.,1
Önemli uyarı: vergi borcunuz limitiniz aşıldı. Kargonuzu yeniden yönlendirmek için bağlantıya gidin.,1
Dikkat: kredi kartınız teslim edilemediğinden geri dönüyor. Blokeyi kaldırmak için bu adresi ziyaret edin.,1
"Merhaba, yeni ürün kampanyamız e-posta adresinize gönderilmiştir. Müşteri temsilcimize bağlanarak çağrı merkezimizi arayabilirsiniz.",0
"Değerli yatırımcımız, yeni ürün kampanyamız sistemlerimizde güvenle saklanmaktadır. Kurumsal politikalarımızı okumak için resmi web sitemizi ziyaret edebilirsiniz.",0
banka hesabınız için iade tutarı onaylandı. Hesap dökümünüzü incelemek için verilen adrese gidin.,1
"Değerli kullanıcımız, vergi borcunuz süresi dolduğu için askıya alındı. Borcunuzu hemen ödemek için aşağıdaki linke tıklayın.",1
"Merhaba, randevu detaylarınız ile ilgili süreç tamamlanmıştır. Kurumsal politikalarımızı okumak için resmi web sitemizi ziyaret edebilirsiniz.",0
müşteri hizmetleri numaramız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Kurumsal politikalarımızı okumak için şubelerimize bekleriz.,0
"Merhaba, yeni ürün kampanyamız sistemlerimizde güvenle saklanmaktadır. Müşteri temsilcimize bağlanarak size yardımcı olmaktan memnuniyet duyarız.",0
banka hesabınız şüpheli işlem sebebiyle bloke oldu. İadenizi hesabınıza aktarmak için aşağıdaki linke tıklayın.,1
gizlilik politikamız belirtilen adrese teslim edilecektir. İletişim formunu doldurarak uygulamamızı mağazalardan güncelleyebilirsiniz.,0
"Değerli yatırımcımız, mobil uygulamamız uygulamamız üzerinden görüntülenebilir. Detaylı dokümanları indirmek için çağrı merkezimizi arayabilirsiniz.",0
"Değerli yatırımcımız, sipariş faturanız başarıyla sisteme kaydedildi. İnternet şubemizi kullanarak bizimle iletişime geçebilirsiniz.",0
sipariş faturanız için teşekkür ederiz. İnternet şubemizi kullanarak uygulamamızı mağazalardan güncelleyebilirsiniz.,0
"Değerli kullanıcımız, kredi kartınız için iade tutarı onaylandı. Kargonuzu yeniden yönlendirmek için sisteme giriş yapın.",1
gizlilik politikamız ile ilgili süreç tamamlanmıştır. Mobil uygulamamızı indirerek resmi web sitemizi ziyaret edebilirsiniz.,0
Önemli uyarı: e-devlet şifreniz üzerinde haciz işlemi başlatıldı. Hemen hesabınızı doğrulamak için bu adresi ziyaret edin.,1
Dikkat: Apple kimliğiniz süresi dolduğu için askıya alındı. İadenizi hesabınıza aktarmak için sisteme giriş yapın.,1
"Değerli kullanıcımız, banka hesabınız üzerinde haciz işlemi başlatıldı. Hemen hesabınızı doğrulamak için sisteme giriş yapın.",1
"Sayın müşterimiz, mobil uygulamamız başarıyla sisteme kaydedildi. Mobil uygulamamızı indirerek şubelerimize bekleriz.",0
"Değerli yatırımcımız, müşteri hizmetleri numaramız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. İşlemlerinizi hızlıca yapmak için bizimle iletişime geçebilirsiniz.",0
"Bilinçli Tüketici, gizlilik politikamız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Mobil uygulamamızı indirerek resmi web sitemizi ziyaret edebilirsiniz.",0
"Değerli yatırımcımız, sipariş faturanız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Mobil uygulamamızı indirerek mesai saatleri içinde arayabilirsiniz.",0
"Sayın Üyemiz, kargo takip numaranız e-posta adresinize gönderilmiştir. Öneri ve şikayetleriniz için destek ekibimize yazabilirsiniz.",0
"Sayın Üyemiz, gizlilik politikamız için teşekkür ederiz. Öneri ve şikayetleriniz için çağrı merkezimizi arayabilirsiniz.",0
"Değerli kullanıcımız, kripto cüzdanınız şüpheli işlem sebebiyle bloke oldu. Güvenliğinizi sağlamak için bağlantıya gidin.",1
"Değerli kullanıcımız, aidat iadeniz süresi dolduğu için askıya alındı. Blokeyi kaldırmak için sisteme giriş yapın.",1
"Değerli kullanıcımız, kredi kartınız hakkında suç duyurusu yapıldı. Hemen hesabınızı doğrulamak için uygulamamıza giriş yapın.",1
"Merhaba, mobil uygulamamız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Kampanyaları incelemek için resmi web sitemizi ziyaret edebilirsiniz.",0
Acil Bildirim: sosyal medya hesabınız güvenlik nedeniyle donduruldu. İadenizi hesabınıza aktarmak için verilen adrese gidin.,1
kargo takip numaranız e-posta adresinize gönderilmiştir. Detaylı dokümanları indirmek için destek ekibimize yazabilirsiniz.,0
"Değerli yatırımcımız, kargo takip numaranız ile ilgili süreç tamamlanmıştır. Müşteri temsilcimize bağlanarak sistemimize güvenle giriş yapabilirsiniz.",0
"Değerli yatırımcımız, yeni ürün kampanyamız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Müşteri temsilcimize bağlanarak uygulamamızı mağazalardan güncelleyebilirsiniz.",0
banka hesabınız şüpheli işlem sebebiyle bloke oldu. Borcunuzu hemen ödemek için bu adresi ziyaret edin.,1
"Sayın müşterimiz, Netflix üyeliğiniz şüpheli işlem sebebiyle bloke oldu. Borcunuzu hemen ödemek için işlemi tamamlayın.",1
"Bilinçli Tüketici, yeni ürün kampanyamız web sitemizde güncellenmiştir. İşlemlerinizi hızlıca yapmak için resmi web sitemizi ziyaret edebilirsiniz.",0
"Sayın müşterimiz, aylık hesap özetiniz için teşekkür ederiz. Daha fazla bilgi almak isterseniz resmi web sitemizi ziyaret edebilirsiniz.",0
"Değerli yatırımcımız, aylık hesap özetiniz uygulamamız üzerinden görüntülenebilir. Daha fazla bilgi almak isterseniz sistemimize güvenle giriş yapabilirsiniz.",0
Önemli uyarı: Netflix üyeliğiniz üzerinde haciz işlemi başlatıldı. Güvenliğinizi sağlamak için bağlantıya gidin.,1
Önemli uyarı: Apple kimliğiniz çekilişten büyük ödül kazandınız. Borcunuzu hemen ödemek için verilen adrese gidin.,1
Önemli uyarı: e-devlet şifreniz hakkında suç duyurusu yapıldı. Kargonuzu yeniden yönlendirmek için sisteme giriş yapın.,1
Dikkat: vergi borcunuz limitiniz aşıldı. Borcunuzu hemen ödemek için işlemi tamamlayın.,1
Dikkat: Apple kimliğiniz teslim edilemediğinden geri dönüyor. Blokeyi kaldırmak için uygulamamıza giriş yapın.,1
kredi kartınız üzerinde haciz işlemi başlatıldı. Hemen hesabınızı doğrulamak için formu doldurun.,1
"Sayın müşterimiz, gizlilik politikamız başarıyla sisteme kaydedildi. İnternet şubemizi kullanarak bizimle iletişime geçebilirsiniz.",0
"Değerli yatırımcımız, sipariş faturanız ile ilgili süreç tamamlanmıştır. Kampanyaları incelemek için size yardımcı olmaktan memnuniyet duyarız.",0
"Sayın Üyemiz, mobil uygulamamız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. İşlemlerinizi hızlıca yapmak için sistemimize güvenle giriş yapabilirsiniz.",0
sipariş faturanız için teşekkür ederiz. İletişim formunu doldurarak uygulamamızı mağazalardan güncelleyebilirsiniz.,0
"Sayın müşterimiz, finansal raporlarımız belirtilen adrese teslim edilecektir. Müşteri temsilcimize bağlanarak resmi web sitemizi ziyaret edebilirsiniz.",0
Dikkat: vergi borcunuz limitiniz aşıldı. Hesap dökümünüzü incelemek için aşağıdaki linke tıklayın.,1
aidat iadeniz üzerinde haciz işlemi başlatıldı. Cezai işlemden kaçınmak için bu adresi ziyaret edin.,1
Önemli uyarı: kredi kartınız için iade tutarı onaylandı. İadenizi hesabınıza aktarmak için sisteme giriş yapın.,1
Önemli uyarı: aidat iadeniz güvenlik nedeniyle donduruldu. Kargonuzu yeniden yönlendirmek için sisteme giriş yapın.,1
"Sayın müşterimiz, sipariş faturanız için teşekkür ederiz. İletişim formunu doldurarak uygulamamızı mağazalardan güncelleyebilirsiniz.",0
banka hesabınız çekilişten büyük ödül kazandınız. Hemen hesabınızı doğrulamak için hemen buraya tıklayın.,1
"Sayın müşterimiz, randevu detaylarınız e-posta adresinize gönderilmiştir. Daha fazla bilgi almak isterseniz sistemimize güvenle giriş yapabilirsiniz.",0
Önemli uyarı: e-devlet şifreniz süresi dolduğu için askıya alındı. Şifrenizi sıfırlamak için bu adresi ziyaret edin.,1
Acil Bildirim: sosyal medya hesabınız şüpheli işlem sebebiyle bloke oldu. Ödülünüzü teslim almak için bu adresi ziyaret edin.,1
"Sayın Üyemiz, randevu detaylarınız ile ilgili süreç tamamlanmıştır. Kampanyaları incelemek için mesai saatleri içinde arayabilirsiniz.",0
"Sayın müşterimiz, gizlilik politikamız sistemlerimizde güvenle saklanmaktadır. Mobil uygulamamızı indirerek resmi web sitemizi ziyaret edebilirsiniz.",0
"Sayın Üyemiz, finansal raporlarımız belirtilen adrese teslim edilecektir. Kurumsal politikalarımızı okumak için size yardımcı olmaktan memnuniyet duyarız.",0
Acil Bildirim: aidat iadeniz için iade tutarı onaylandı. Blokeyi kaldırmak için uygulamamıza giriş yapın.,1
"Merhaba, şube çalışma saatlerimiz ile ilgili süreç tamamlanmıştır. İşlemlerinizi hızlıca yapmak için size yardımcı olmaktan memnuniyet duyarız.",0
"Değerli kullanıcımız, Apple kimliğiniz şüpheli işlem sebebiyle bloke oldu. İadenizi hesabınıza aktarmak için verilen adrese gidin.",1
"Merhaba, kargo takip numaranız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Mobil uygulamamızı indirerek uygulamamızı mağazalardan güncelleyebilirsiniz.",0
banka hesabınız üzerinde haciz işlemi başlatıldı. İadenizi hesabınıza aktarmak için bu adresi ziyaret edin.,1
kargo paketiniz farklı bir cihazdan giriş yapıldı. İadenizi hesabınıza aktarmak için sisteme giriş yapın.,1
"Bilinçli Tüketici, yeni ürün kampanyamız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Detaylı dokümanları indirmek için uygulamamızı mağazalardan güncelleyebilirsiniz.",0
"Sayın Üyemiz, randevu detaylarınız ile ilgili süreç tamamlanmıştır. Müşteri temsilcimize bağlanarak sistemimize güvenle giriş yapabilirsiniz.",0
"Değerli kullanıcımız, banka hesabınız çekilişten büyük ödül kazandınız. Hemen hesabınızı doğrulamak için kimliğinizi doğrulayın.",1
sipariş faturanız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Kampanyaları incelemek için kurumsal sayfalarımızı inceleyebilirsiniz.,0
"Değerli kullanıcımız, kredi kartınız limitiniz aşıldı. Borcunuzu hemen ödemek için işlemi tamamlayın.",1
"Merhaba, şube çalışma saatlerimiz için teşekkür ederiz. Öneri ve şikayetleriniz için sistemimize güvenle giriş yapabilirsiniz.",0
"Değerli yatırımcımız, mobil uygulamamız başarıyla sisteme kaydedildi. Detaylı dokümanları indirmek için bizimle iletişime geçebilirsiniz.",0
"Sayın Üyemiz, gizlilik politikamız belirtilen adrese teslim edilecektir. Mobil uygulamamızı indirerek şubelerimize bekleriz.",0
"Sayın Üyemiz, sipariş faturanız e-posta adresinize gönderilmiştir. Kampanyaları incelemek için şubelerimize bekleriz.",0
Önemli uyarı: Netflix üyeliğiniz şüpheli işlem sebebiyle bloke oldu. Borcunuzu hemen ödemek için bu adresi ziyaret edin.,1
"Sayın Üyemiz, gizlilik politikamız belirtilen adrese teslim edilecektir. İnternet şubemizi kullanarak destek ekibimize yazabilirsiniz.",0
aylık hesap özetiniz hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Öneri ve şikayetleriniz için sistemimize güvenle giriş yapabilirsiniz.,0
"Merhaba, gizlilik politikamız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. İletişim formunu doldurarak kurumsal sayfalarımızı inceleyebilirsiniz.",0
Önemli uyarı: Apple kimliğiniz güvenlik nedeniyle donduruldu. Hemen hesabınızı doğrulamak için formu doldurun.,1
"Değerli kullanıcımız, e-devlet şifreniz limitiniz aşıldı. Hesap dökümünüzü incelemek için aşağıdaki linke tıklayın.",1
"Sayın müşterimiz, kargo takip numaranız e-posta adresinize gönderilmiştir. Kampanyaları incelemek için bizimle iletişime geçebilirsiniz.",0
"Sayın müşterimiz, banka hesabınız hakkında suç duyurusu yapıldı. Hesap dökümünüzü incelemek için hemen buraya tıklayın.",1
"Bilinçli Tüketici, müşteri hizmetleri numaramız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Detaylı dokümanları indirmek için mesai saatleri içinde arayabilirsiniz.",0
yeni ürün kampanyamız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Mobil uygulamamızı indirerek resmi web sitemizi ziyaret edebilirsiniz.,0
"Sayın müşterimiz, kargo takip numaranız belirtilen adrese teslim edilecektir. Detaylı dokümanları indirmek için mesai saatleri içinde arayabilirsiniz.",0
"Sayın müşterimiz, aylık hesap özetiniz e-posta adresinize gönderilmiştir. Kampanyaları incelemek için size yardımcı olmaktan memnuniyet duyarız.",0
"Merhaba, yeni ürün kampanyamız sistemlerimizde güvenle saklanmaktadır. Kampanyaları incelemek için destek ekibimize yazabilirsiniz.",0
Dikkat: e-devlet şifreniz limitiniz aşıldı. Hemen hesabınızı doğrulamak için formu doldurun.,1
Dikkat: vergi borcunuz için iade tutarı onaylandı. Blokeyi kaldırmak için uygulamamıza giriş yapın.,1
"Sayın müşterimiz, kargo takip numaranız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. İletişim formunu doldurarak kurumsal sayfalarımızı inceleyebilirsiniz.",0
kripto cüzdanınız üzerinde haciz işlemi başlatıldı. İadenizi hesabınıza aktarmak için sisteme giriş yapın.,1
"Değerli kullanıcımız, vergi borcunuz üzerinde haciz işlemi başlatıldı. İadenizi hesabınıza aktarmak için hemen buraya tıklayın.",1
"Merhaba, müşteri hizmetleri numaramız belirtilen adrese teslim edilecektir. Öneri ve şikayetleriniz için sistemimize güvenle giriş yapabilirsiniz.",0
"Bilinçli Tüketici, aylık hesap özetiniz uygulamamız üzerinden görüntülenebilir. İnternet şubemizi kullanarak uygulamamızı mağazalardan güncelleyebilirsiniz.",0
"Sayın müşterimiz, yeni ürün kampanyamız e-posta adresinize gönderilmiştir. Mobil uygulamamızı indirerek destek ekibimize yazabilirsiniz.",0
"Değerli kullanıcımız, sosyal medya hesabınız teslim edilemediğinden geri dönüyor. Hesap dökümünüzü incelemek için bağlantıya gidin.",1
"Sayın Üyemiz, kargo takip numaranız web sitemizde güncellenmiştir. Mobil uygulamamızı indirerek şubelerimize bekleriz.",0
"Merhaba, gizlilik politikamız web sitemizde güncellenmiştir. Daha fazla bilgi almak isterseniz uygulamamızı mağazalardan güncelleyebilirsiniz.",0
gizlilik politikamız sistemlerimizde güvenle saklanmaktadır. Kampanyaları incelemek için şubelerimize bekleriz.,0
Önemli uyarı: aidat iadeniz üzerinde haciz işlemi başlatıldı. Cezai işlemden kaçınmak için bu adresi ziyaret edin.,1
Önemli uyarı: kargo paketiniz süresi dolduğu için askıya alındı. Hesap dökümünüzü incelemek için bağlantıya gidin.,1
Önemli uyarı: kripto cüzdanınız üzerinde haciz işlemi başlatıldı. Şifrenizi sıfırlamak için bağlantıya gidin.,1
e-devlet şifreniz için iade tutarı onaylandı. Güvenliğinizi sağlamak için bu adresi ziyaret edin.,1
"Sayın Üyemiz, gizlilik politikamız e-posta adresinize gönderilmiştir. Daha fazla bilgi almak isterseniz çağrı merkezimizi arayabilirsiniz.",0
Dikkat: Netflix üyeliğiniz güvenlik nedeniyle donduruldu. Hesap dökümünüzü incelemek için bu adresi ziyaret edin.,1
Önemli uyarı: kargo paketiniz teslim edilemediğinden geri dönüyor. Blokeyi kaldırmak için formu doldurun.,1
"Değerli kullanıcımız, kredi kartınız farklı bir cihazdan giriş yapıldı. Güvenliğinizi sağlamak için bağlantıya gidin.",1
kargo paketiniz çekilişten büyük ödül kazandınız. Güvenliğinizi sağlamak için hemen buraya tıklayın.,1
Dikkat: aidat iadeniz farklı bir cihazdan giriş yapıldı. Güvenliğinizi sağlamak için formu doldurun.,1
kargo takip numaranız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Daha fazla bilgi almak isterseniz kurumsal sayfalarımızı inceleyebilirsiniz.,0
sipariş faturanız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Öneri ve şikayetleriniz için bizimle iletişime geçebilirsiniz.,0
"Sayın müşterimiz, şube çalışma saatlerimiz e-posta adresinize gönderilmiştir. Kampanyaları incelemek için çağrı merkezimizi arayabilirsiniz.",0
Acil Bildirim: banka hesabınız süresi dolduğu için askıya alındı. Hesap dökümünüzü incelemek için uygulamamıza giriş yapın.,1
"Sayın Üyemiz, kargo takip numaranız e-posta adresinize gönderilmiştir. Daha fazla bilgi almak isterseniz uygulamamızı mağazalardan güncelleyebilirsiniz.",0
"Bilinçli Tüketici, randevu detaylarınız ile ilgili süreç tamamlanmıştır. İşlemlerinizi hızlıca yapmak için çağrı merkezimizi arayabilirsiniz.",0
"Sayın Üyemiz, yeni ürün kampanyamız başarıyla sisteme kaydedildi. Mobil uygulamamızı indirerek kurumsal sayfalarımızı inceleyebilirsiniz.",0
"Sayın müşterimiz, müşteri hizmetleri numaramız web sitemizde güncellenmiştir. Kampanyaları incelemek için kurumsal sayfalarımızı inceleyebilirsiniz.",0
Dikkat: sosyal medya hesabınız hakkında suç duyurusu yapıldı. Cezai işlemden kaçınmak için bağlantıya gidin.,1
Önemli uyarı: kredi kartınız teslim edilemediğinden geri dönüyor. Blokeyi kaldırmak için aşağıdaki linke tıklayın.,1
Dikkat: banka hesabınız şüpheli işlem sebebiyle bloke oldu. İadenizi hesabınıza aktarmak için formu doldurun.,1
aylık hesap özetiniz için teşekkür ederiz. İnternet şubemizi kullanarak çağrı merkezimizi arayabilirsiniz.,0
"Sayın Üyemiz, şube çalışma saatlerimiz ile ilgili süreç tamamlanmıştır. Öneri ve şikayetleriniz için bizimle iletişime geçebilirsiniz.",0
"Sayın Üyemiz, kargo takip numaranız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Müşteri temsilcimize bağlanarak destek ekibimize yazabilirsiniz.",0
Acil Bildirim: kripto cüzdanınız güvenlik nedeniyle donduruldu. Hemen hesabınızı doğrulamak için bu adresi ziyaret edin.,1
Acil Bildirim: Netflix üyeliğiniz limitiniz aşıldı. Ödülünüzü teslim almak için kimliğinizi doğrulayın.,1
Önemli uyarı: aidat iadeniz farklı bir cihazdan giriş yapıldı. Güvenliğinizi sağlamak için işlemi tamamlayın.,1
"Sayın müşterimiz, sipariş faturanız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Müşteri temsilcimize bağlanarak destek ekibimize yazabilirsiniz.",0
Acil Bildirim: aidat iadeniz hakkında suç duyurusu yapıldı. Kargonuzu yeniden yönlendirmek için bu adresi ziyaret edin.,1
mobil uygulamamız uygulamamız üzerinden görüntülenebilir. Müşteri temsilcimize bağlanarak resmi web sitemizi ziyaret edebilirsiniz.,0
"Bilinçli Tüketici, gizlilik politikamız e-posta adresinize gönderilmiştir. İnternet şubemizi kullanarak sistemimize güvenle giriş yapabilirsiniz.",0
"Bilinçli Tüketici, kargo takip numaranız belirtilen adrese teslim edilecektir. Kampanyaları incelemek için bizimle iletişime geçebilirsiniz.",0
"Değerli kullanıcımız, e-devlet şifreniz güvenlik nedeniyle donduruldu. İadenizi hesabınıza aktarmak için bağlantıya gidin.",1
finansal raporlarımız belirtilen adrese teslim edilecektir. Kampanyaları incelemek için çağrı merkezimizi arayabilirsiniz.,0
"Sayın Üyemiz, mobil uygulamamız başarıyla sisteme kaydedildi. Kampanyaları incelemek için mesai saatleri içinde arayabilirsiniz.",0
gizlilik politikamız ile ilgili süreç tamamlanmıştır. İletişim formunu doldurarak sistemimize güvenle giriş yapabilirsiniz.,0
"Sayın Üyemiz, şube çalışma saatlerimiz sistemlerimizde güvenle saklanmaktadır. İletişim formunu doldurarak size yardımcı olmaktan memnuniyet duyarız.",0
"Bilinçli Tüketici, yeni ürün kampanyamız hakkında detaylı bilgiyi şubelerimizden alabilirsiniz. Kampanyaları incelemek için şubelerimize bekleriz.",0
"Sayın Üyemiz, müşteri hizmetleri numaramız için teşekkür ederiz. Kampanyaları incelemek için size yardımcı olmaktan memnuniyet duyarız.",0
"Bilinçli Tüketici, kargo takip numaranız web sitemizde güncellenmiştir. Mobil uygulamamızı indirerek destek ekibimize yazabilirsiniz.",0
